antibody_1,antibody_1_control_status,antibody_1_epitope_id,antibody_1_epitope_start,antibody_1_epitope_end,antibody_1_binding_score,antibody_2,antibody_2_control_status,antibody_2_epitope_id,antibody_2_epitope_start,antibody_2_epitope_end,antibody_2_binding_score,epitope_overlap_aa,epitope_overlap_ratio,linear_epitope_gap_aa,clash_score_proxy,sandwich_compatibility_score,recommended_capture,recommended_detection,orientation_reason,data_status,claim_scope,pair_rank
DN-a9cf24db579e,prospective_design,C_boundary_368_377,368,377,74.2,DN-c0d75e927e22,prospective_design,C_boundary_368_377,368,377,73.9,10,1.0,0,99.05,54.51,DN-c0d75e927e22,DN-a9cf24db579e,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,28
DN-e6e8d7351d0d,prospective_design,C_boundary_368_377,368,377,72.65,DN-9e5c3708b2c2,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,54.47,DN-e6e8d7351d0d,DN-9e5c3708b2c2,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,29
DN-77576c381425,prospective_design,C_boundary_368_377,368,377,72.55,DN-2ea27b071345,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,54.46,DN-2ea27b071345,DN-77576c381425,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,30
DN-77576c381425,prospective_design,C_boundary_368_377,368,377,72.55,DN-a9cf24db579e,prospective_design,C_boundary_368_377,368,377,74.2,10,1.0,0,99.05,54.45,DN-77576c381425,DN-a9cf24db579e,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,31
DN-c0d75e927e22,prospective_design,C_boundary_368_377,368,377,73.9,DN-9e5c3708b2c2,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,54.41,DN-c0d75e927e22,DN-9e5c3708b2c2,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,32
DN-e6e8d7351d0d,prospective_design,C_boundary_368_377,368,377,72.65,DN-80ac0338f825,prospective_design,C_boundary_368_377,368,377,75.79,10,1.0,0,99.05,54.37,DN-e6e8d7351d0d,DN-80ac0338f825,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,33
DN-77576c381425,prospective_design,C_boundary_368_377,368,377,72.55,DN-9e5c3708b2c2,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,54.35,DN-77576c381425,DN-9e5c3708b2c2,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,34
DN-e6e8d7351d0d,prospective_design,C_boundary_368_377,368,377,72.65,DN-8bd1ce369979,prospective_design,C_boundary_368_377,368,377,76.27,10,1.0,0,99.05,54.34,DN-e6e8d7351d0d,DN-8bd1ce369979,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,35
DN-e6e8d7351d0d,prospective_design,C_boundary_368_377,368,377,72.65,DN-8df6f8cc4294,prospective_design,C_boundary_368_377,368,377,82.81,10,1.0,0,99.05,54.34,DN-e6e8d7351d0d,DN-8df6f8cc4294,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,36
DN-c0d75e927e22,prospective_design,C_boundary_368_377,368,377,73.9,DN-80ac0338f825,prospective_design,C_boundary_368_377,368,377,75.79,10,1.0,0,99.05,54.31,DN-c0d75e927e22,DN-80ac0338f825,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,37
DN-8df6f8cc4294,prospective_design,C_boundary_368_377,368,377,82.81,DN-c0d75e927e22,prospective_design,C_boundary_368_377,368,377,73.9,10,1.0,0,99.05,54.28,DN-c0d75e927e22,DN-8df6f8cc4294,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,38
DN-a9cf24db579e,prospective_design,C_boundary_368_377,368,377,74.2,DN-2ea27b071345,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,54.28,DN-2ea27b071345,DN-a9cf24db579e,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,39
DN-c0d75e927e22,prospective_design,C_boundary_368_377,368,377,73.9,DN-8bd1ce369979,prospective_design,C_boundary_368_377,368,377,76.27,10,1.0,0,99.05,54.28,DN-c0d75e927e22,DN-8bd1ce369979,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,40
DN-77576c381425,prospective_design,C_boundary_368_377,368,377,72.55,DN-80ac0338f825,prospective_design,C_boundary_368_377,368,377,75.79,10,1.0,0,99.05,54.26,DN-77576c381425,DN-80ac0338f825,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,41
DN-77576c381425,prospective_design,C_boundary_368_377,368,377,72.55,DN-8bd1ce369979,prospective_design,C_boundary_368_377,368,377,76.27,10,1.0,0,99.05,54.23,DN-77576c381425,DN-8bd1ce369979,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,42
DN-8df6f8cc4294,prospective_design,C_boundary_368_377,368,377,82.81,DN-77576c381425,prospective_design,C_boundary_368_377,368,377,72.55,10,1.0,0,99.05,54.23,DN-77576c381425,DN-8df6f8cc4294,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,43
DN-2ea27b071345,prospective_design,C_boundary_368_377,368,377,73.91,DN-9e5c3708b2c2,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,54.18,DN-2ea27b071345,DN-9e5c3708b2c2,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,44
DN-a9cf24db579e,prospective_design,C_boundary_368_377,368,377,74.2,DN-9e5c3708b2c2,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,54.17,DN-9e5c3708b2c2,DN-a9cf24db579e,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,45
DN-e6e8d7351d0d,prospective_design,C_boundary_368_377,368,377,72.65,DN-ee56e463a133,prospective_design,C_boundary_368_377,368,377,80.71,10,1.0,0,99.05,54.11,DN-e6e8d7351d0d,DN-ee56e463a133,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,46
DN-80ac0338f825,prospective_design,C_boundary_368_377,368,377,75.79,DN-2ea27b071345,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,54.08,DN-2ea27b071345,DN-80ac0338f825,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,47
DN-a9cf24db579e,prospective_design,C_boundary_368_377,368,377,74.2,DN-80ac0338f825,prospective_design,C_boundary_368_377,368,377,75.79,10,1.0,0,99.05,54.07,DN-a9cf24db579e,DN-80ac0338f825,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,48
DN-2ea27b071345,prospective_design,C_boundary_368_377,368,377,73.91,DN-8bd1ce369979,prospective_design,C_boundary_368_377,368,377,76.27,10,1.0,0,99.05,54.06,DN-2ea27b071345,DN-8bd1ce369979,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,49
DN-8df6f8cc4294,prospective_design,C_boundary_368_377,368,377,82.81,DN-2ea27b071345,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,54.05,DN-2ea27b071345,DN-8df6f8cc4294,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,50
DN-c0d75e927e22,prospective_design,C_boundary_368_377,368,377,73.9,DN-ee56e463a133,prospective_design,C_boundary_368_377,368,377,80.71,10,1.0,0,99.05,54.05,DN-c0d75e927e22,DN-ee56e463a133,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,51
DN-8df6f8cc4294,prospective_design,C_boundary_368_377,368,377,82.81,DN-a9cf24db579e,prospective_design,C_boundary_368_377,368,377,74.2,10,1.0,0,99.05,54.04,DN-a9cf24db579e,DN-8df6f8cc4294,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,52
DN-a9cf24db579e,prospective_design,C_boundary_368_377,368,377,74.2,DN-8bd1ce369979,prospective_design,C_boundary_368_377,368,377,76.27,10,1.0,0,99.05,54.04,DN-a9cf24db579e,DN-8bd1ce369979,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,53
DN-77576c381425,prospective_design,C_boundary_368_377,368,377,72.55,DN-ee56e463a133,prospective_design,C_boundary_368_377,368,377,80.71,10,1.0,0,99.05,53.99,DN-77576c381425,DN-ee56e463a133,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,54
DN-80ac0338f825,prospective_design,C_boundary_368_377,368,377,75.79,DN-9e5c3708b2c2,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,53.97,DN-9e5c3708b2c2,DN-80ac0338f825,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,55
DN-8bd1ce369979,prospective_design,C_boundary_368_377,368,377,76.27,DN-9e5c3708b2c2,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,53.95,DN-9e5c3708b2c2,DN-8bd1ce369979,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,56
DN-8df6f8cc4294,prospective_design,C_boundary_368_377,368,377,82.81,DN-9e5c3708b2c2,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,53.94,DN-9e5c3708b2c2,DN-8df6f8cc4294,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,57
DN-80ac0338f825,prospective_design,C_boundary_368_377,368,377,75.79,DN-8bd1ce369979,prospective_design,C_boundary_368_377,368,377,76.27,10,1.0,0,99.05,53.85,DN-8bd1ce369979,DN-80ac0338f825,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,58
DN-8df6f8cc4294,prospective_design,C_boundary_368_377,368,377,82.81,DN-80ac0338f825,prospective_design,C_boundary_368_377,368,377,75.79,10,1.0,0,99.05,53.85,DN-80ac0338f825,DN-8df6f8cc4294,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,59
DN-2ea27b071345,prospective_design,C_boundary_368_377,368,377,73.91,DN-ee56e463a133,prospective_design,C_boundary_368_377,368,377,80.71,10,1.0,0,99.05,53.82,DN-2ea27b071345,DN-ee56e463a133,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,60
DN-8df6f8cc4294,prospective_design,C_boundary_368_377,368,377,82.81,DN-8bd1ce369979,prospective_design,C_boundary_368_377,368,377,76.27,10,1.0,0,99.05,53.82,DN-8bd1ce369979,DN-8df6f8cc4294,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,61
DN-a9cf24db579e,prospective_design,C_boundary_368_377,368,377,74.2,DN-ee56e463a133,prospective_design,C_boundary_368_377,368,377,80.71,10,1.0,0,99.05,53.81,DN-a9cf24db579e,DN-ee56e463a133,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,62
DN-ee56e463a133,prospective_design,C_boundary_368_377,368,377,80.71,DN-9e5c3708b2c2,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,53.71,DN-9e5c3708b2c2,DN-ee56e463a133,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,63
DN-80ac0338f825,prospective_design,C_boundary_368_377,368,377,75.79,DN-ee56e463a133,prospective_design,C_boundary_368_377,368,377,80.71,10,1.0,0,99.05,53.61,DN-80ac0338f825,DN-ee56e463a133,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,64
DN-8bd1ce369979,prospective_design,C_boundary_368_377,368,377,76.27,DN-ee56e463a133,prospective_design,C_boundary_368_377,368,377,80.71,10,1.0,0,99.05,53.58,DN-8bd1ce369979,DN-ee56e463a133,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,65
DN-8df6f8cc4294,prospective_design,C_boundary_368_377,368,377,82.81,DN-ee56e463a133,prospective_design,C_boundary_368_377,368,377,80.71,10,1.0,0,99.05,53.58,DN-ee56e463a133,DN-8df6f8cc4294,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,66
